Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),peak_brightness,year,month,hour,latitude,longitude
2015-02-25 10:53:24,12.4N,122.4W,42.0,,,,,58000000000.0,0.19,2015-02-25 10:53:24,2015,2,10,12.4,-122.4
2015-02-17 13:19:50,8.0S,11.2W,39.0,28.8,-28.2,3.4,4.6,33000000000.0,0.11,2015-02-17 13:19:50,2015,2,13,-8.0,-11.2
2015-01-09 17:31:47,23.3S,49.2W,,,,,,22000000000.0,0.079,2015-01-09 17:31:47,2015,1,17,-23.3,-49.2
2015-01-09 10:41:11,2.0N,28.8E,36.0,17.5,-10.7,-7.6,11.6,139000000000.0,0.41,2015-01-09 10:41:11,2015,1,10,2.0,28.8
2015-01-07 01:05:59,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,136000000000.0,0.4,2015-01-07 01:05:59,2015,1,1,45.7,26.9
2015-01-02 13:39:19,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10.0,20000000000.0,0.073,2015-01-02 13:39:19,2015,1,13,-31.1,140.0
2014-12-13 02:53:52,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,44000000000.0,0.15,2014-12-13 02:53:52,2014,12,2,86.7,-162.1
2014-12-12 06:48:11,33.5N,144.9E,26.3,12.0,11.5,-2.8,-2.2,33000000000.0,0.11,2014-12-12 06:48:11,2014,12,6,33.5,144.9
2014-12-09 21:19:18,76.6N,96.3E,26.3,,,,,78000000000.0,0.24,2014-12-09 21:19:18,2014,12,21,76.6,96.3
2014-11-28 11:47:18,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,700000000000.0,1.7,2014-11-28 11:47:18,2014,11,11,-45.8,-172.7
2014-11-27 12:12:52,18.8S,73.4W,38.0,,,,,55000000000.0,0.18,2014-11-27 12:12:52,2014,11,12,-18.8,-73.4
2014-11-26 23:16:51,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,118000000000.0,0.35,2014-11-26 23:16:51,2014,11,23,-69.5,-179.7
2014-11-26 17:40:16,68.2S,24.0W,37.0,19.9,-7.0,16.1,9.4,105000000000.0,0.32,2014-11-26 17:40:16,2014,11,17,-68.2,-24.0
2014-11-04 20:13:30,43.1N,115.8E,22.2,16.0,-7.2,-12.1,-7.7,156000000000.0,0.45,2014-11-04 20:13:30,2014,11,20,43.1,115.8
2014-10-21 18:55:37,22.2N,132.9W,,,,,,34000000000.0,0.12,2014-10-21 18:55:37,2014,10,18,22.2,-132.9
2014-10-17 14:07:36,4.6S,66.3W,39.0,,,,,72000000000.0,0.23,2014-10-17 14:07:36,2014,10,14,-4.6,-66.3
2014-10-14 10:25:03,2.0S,119.2E,27.2,16.9,15.0,-6.9,-3.5,29000000000.0,0.1,2014-10-14 10:25:03,2014,10,10,-2.0,119.2
2014-10-06 20:02:15,43.7S,85.7E,,,,,,39000000000.0,0.13,2014-10-06 20:02:15,2014,10,20,-43.7,85.7
2014-09-09 18:55:46,3.2N,137.2E,32.5,,,,,28000000000.0,0.098,2014-09-09 18:55:46,2014,9,18,3.2,137.2
2014-09-05 21:37:26,22.7N,150.0W,,,,,,35000000000.0,0.12,2014-09-05 21:37:26,2014,9,21,22.7,-150.0
2014-08-29 23:15:39,6.2S,49.9W,,,,,,26000000000.0,0.092,2014-08-29 23:15:39,2014,8,23,-6.2,-49.9
2014-08-28 03:07:45,3.2N,45.4W,,,,,,34000000000.0,0.12,2014-08-28 03:07:45,2014,8,3,3.2,-45.4
2014-08-23 06:29:41,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3819000000000.0,7.6,2014-08-23 06:29:41,2014,8,6,-61.7,132.6
2014-07-29 07:38:07,49.2S,172.2W,,,,,,73000000000.0,0.23,2014-07-29 07:38:07,2014,7,7,-49.2,-172.2
2014-07-29 03:07:43,33.9S,115.9W,,,,,,53000000000.0,0.17,2014-07-29 03:07:43,2014,7,3,-33.9,-115.9
2014-06-28 02:40:07,18.9N,141.2E,26.3,12.4,12.0,3.5,-10.5,245000000000.0,0.67,2014-06-28 02:40:07,2014,6,2,18.9,141.2
2014-06-26 05:54:41,71.5S,93.4E,28.5,11.2,7.0,2.9,8.3,61000000000.0,0.2,2014-06-26 05:54:41,2014,6,5,-71.5,93.4
2014-05-29 01:12:36,21.9N,131.1W,28.7,,,,,58000000000.0,0.19,2014-05-29 01:12:36,2014,5,1,21.9,-131.1
2014-05-16 20:06:28,39.4S,95.9W,30.8,18.0,2.9,13.4,-12.5,136000000000.0,0.4,2014-05-16 20:06:28,2014,5,20,-39.4,-95.9
2014-05-16 12:42:48,44.2S,176.2W,44.0,16.5,14.4,4.6,6.5,309000000000.0,0.82,2014-05-16 12:42:48,2014,5,12,-44.2,-176.2
2014-05-08 19:42:37,36.9S,87.3E,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4,2014-05-08 19:42:37,2014,5,19,-36.9,87.3
2014-03-29 13:45:41,28.7S,121.5E,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13,2014-03-29 13:45:41,2014,3,13,-28.7,121.5
2014-03-18 11:02:37,0.0N,111.8W,30.5,,,,,540000000000.0,1.3,2014-03-18 11:02:37,2014,3,11,0.0,-111.8
2014-03-03 15:00:21,29.0S,94.9W,,,,,,94000000000.0,0.29,2014-03-03 15:00:21,2014,3,15,-29.0,-94.9
2014-02-18 12:50:44,32.8S,61.5W,,,,,,26000000000.0,0.092,2014-02-18 12:50:44,2014,2,12,-32.8,-61.5
2014-02-13 06:47:42,13.3N,110.7W,25.0,,,,,630000000000.0,1.5,2014-02-13 06:47:42,2014,2,6,13.3,-110.7
2014-01-15 02:46:19,18.5S,141.8E,29.6,,,,,140000000000.0,0.41,2014-01-15 02:46:19,2014,1,2,-18.5,141.8
2014-01-12 16:00:48,2.9N,64.4E,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24,2014-01-12 16:00:48,2014,1,16,2.9,64.4
2014-01-08 17:05:34,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11,2014-01-08 17:05:34,2014,1,17,-1.3,147.6
2013-12-23 08:30:57,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43,2013-12-23 08:30:57,2013,12,8,39.5,2.0
2013-12-08 03:10:09,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2,2013-12-08 03:10:09,2013,12,3,32.8,-165.1
2013-11-21 01:50:35,44.7N,35.3E,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23,2013-11-21 01:50:35,2013,11,1,44.7,35.3
2013-10-12 16:06:45,19.1S,25.0W,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5,2013-10-12 16:06:45,2013,10,16,-19.1,-25.0
2013-10-09 17:27:36,,,,,,,,60000000000.0,0.19,2013-10-09 17:27:36,2013,10,17,0.0,0.0
2013-09-24 15:31:16,10.3S,164.7W,40.7,,,,,160000000000.0,0.46,2013-09-24 15:31:16,2013,9,15,-10.3,-164.7
2013-08-12 18:08:02,34.4S,118.2E,66.6,,,,,44000000000.0,0.15,2013-08-12 18:08:02,2013,8,18,-34.4,118.2
2013-07-31 07:00:38,,,,,,,,39000000000.0,0.13,2013-07-31 07:00:38,2013,7,7,0.0,0.0
2013-07-31 03:50:14,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22,2013-07-31 03:50:14,2013,7,3,-31.8,137.1
2013-07-30 02:36:58,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0,2013-07-30 02:36:58,2013,7,2,-50.2,90.2
2013-07-27 08:30:36,0.3N,156.2E,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36,2013-07-27 08:30:36,2013,7,8,0.3,156.2
2013-07-26 11:32:26,21.0N,178.5W,37.0,,,,,20000000000.0,0.073,2013-07-26 11:32:26,2013,7,11,21.0,-178.5
2013-07-18 00:46:37,,,,,,,,22000000000.0,0.079,2013-07-18 00:46:37,2013,7,0,0.0,0.0
2013-06-13 02:51:14,,,,,,,,22000000000.0,0.079,2013-06-13 02:51:14,2013,6,2,0.0,0.0
2013-06-01 22:49:48,65.6S,138.4E,28.9,,,,,34000000000.0,0.12,2013-06-01 22:49:48,2013,6,22,-65.6,138.4
2013-05-14 23:20:21,3.0S,76.4E,,,,,,20000000000.0,0.073,2013-05-14 23:20:21,2013,5,23,-3.0,76.4
2013-04-30 08:40:38,35.5N,30.7W,21.2,12.1,1.0,9.0,-8.0,5110000000000.0,10.0,2013-04-30 08:40:38,2013,4,8,35.5,-30.7
2013-04-21 06:23:12,28.1S,64.6W,40.7,14.9,5.0,14.0,1.0,1066000000000.0,2.5,2013-04-21 06:23:12,2013,4,6,-28.1,-64.6
2013-03-12 10:32:59,32.7S,17.1E,26.0,,,,,29000000000.0,0.1,2013-03-12 10:32:59,2013,3,10,-32.7,17.1
2013-02-20 13:13:07,23.0S,38.8W,,13.6,-11.0,-8.0,-1.0,32000000000.0,0.1,2013-02-20 13:13:07,2013,2,13,-23.0,-38.8
2013-02-15 03:20:33,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,375000000000000.0,440.0,2013-02-15 03:20:33,2013,2,3,54.8,61.1
2013-02-07 13:12:24,18.8S,158.6W,,,,,,65000000000.0,0.21,2013-02-07 13:12:24,2013,2,13,-18.8,-158.6
2013-01-25 07:40:18,60.3N,64.6W,,,,,,3400000000000.0,6.9,2013-01-25 07:40:18,2013,1,7,60.3,-64.6
2013-01-12 03:04:21,15.1S,155.6W,36.1,,,,,48000000000.0,0.16,2013-01-12 03:04:21,2013,1,3,-15.1,-155.6
2012-12-30 07:25:35,17.3N,83.6W,,,,,,198000000000.0,0.55,2012-12-30 07:25:35,2012,12,7,17.3,-83.6
2012-12-18 11:19:17,,,,,,,,27000000000.0,0.095,2012-12-18 11:19:17,2012,12,11,0.0,0.0
2012-11-20 20:37:31,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,25000000000.0,0.08900000000000001,2012-11-20 20:37:31,2012,11,20,2.5,29.6
2012-11-20 06:25:11,8.0S,86.0W,,,,,,120000000000.0,0.36,2012-11-20 06:25:11,2012,11,6,-8.0,-86.0
2012-10-25 15:57:19,,,,,,,,30000000000.0,0.1,2012-10-25 15:57:19,2012,10,15,0.0,0.0
2012-10-19 16:26:22,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,23000000000.0,0.08199999999999999,2012-10-19 16:26:22,2012,10,16,-75.4,49.6
2012-10-09 00:54:55,51.2N,84.6W,27.8,13.5,3.4,12.0,5.1,210000000000.0,0.58,2012-10-09 00:54:55,2012,10,0,51.2,-84.6
2012-10-03 22:50:12,41.5S,21.9W,,17.0,-2.4,5.5,15.9,280000000000.0,0.75,2012-10-03 22:50:12,2012,10,22,-41.5,-21.9
2012-10-02 16:38:38,8.1S,111.9W,35.0,15.4,1.4,15.3,1.0,470000000000.0,1.2,2012-10-02 16:38:38,2012,10,16,-8.1,-111.9
2012-09-28 05:44:12,6.9S,73.7E,,,,,,38000000000.0,0.13,2012-09-28 05:44:12,2012,9,5,-6.9,73.7
2012-09-18 19:34:39,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,244000000000.0,0.67,2012-09-18 19:34:39,2012,9,19,1.2,-52.2
2012-09-11 22:07:30,18.9S,105.2E,,,,,,52000000000.0,0.17,2012-09-11 22:07:30,2012,9,22,-18.9,105.2
2012-09-10 01:03:32,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,23000000000.0,0.08199999999999999,2012-09-10 01:03:32,2012,9,1,-69.8,-111.7
2012-08-27 06:57:43,18.3S,64.2E,38.7,28.9,-8.0,-23.7,-14.5,68000000000.0,0.22,2012-08-27 06:57:43,2012,8,6,-18.3,64.2
2012-08-26 14:55:47,11.8N,117.0E,36.0,12.7,5.0,-11.6,-0.7,249000000000.0,0.68,2012-08-26 14:55:47,2012,8,14,11.8,117.0
2012-08-13 05:31:53,,,,,,,,33000000000.0,0.11,2012-08-13 05:31:53,2012,8,5,0.0,0.0
2012-07-27 04:19:50,63.1N,172.3E,27.2,,,,,34000000000.0,0.12,2012-07-27 04:19:50,2012,7,4,63.1,172.3
2012-07-25 07:48:20,36.4N,41.5E,26.8,18.5,0.8,2.0,-18.4,133000000000.0,0.39,2012-07-25 07:48:20,2012,7,7,36.4,41.5
2012-06-05 07:44:54,,,,,,,,24000000000.0,0.086,2012-06-05 07:44:54,2012,6,7,0.0,0.0
2012-05-25 11:31:24,41.8S,36.2W,,,,,,60000000000.0,0.19,2012-05-25 11:31:24,2012,5,11,-41.8,-36.2
2012-05-22 08:31:42,,,,,,,,211000000000.0,0.59,2012-05-22 08:31:42,2012,5,8,0.0,0.0
2012-05-15 11:04:17,61.8S,135.5W,33.3,17.1,-0.8,1.1,17.0,132000000000.0,0.39,2012-05-15 11:04:17,2012,5,11,-61.8,-135.5
2012-05-04 21:54:49,76.7N,10.6W,,,,,,229000000000.0,0.63,2012-05-04 21:54:49,2012,5,21,76.7,-10.6
2012-04-23 22:01:10,36.2N,107.4E,25.2,,,,,44000000000.0,0.15,2012-04-23 22:01:10,2012,4,22,36.2,107.4
2012-04-21 16:08:23,15.8S,174.8W,,,,,,143000000000.0,0.42,2012-04-21 16:08:23,2012,4,16,-15.8,-174.8
2012-04-19 22:12:10,5.5N,16.8E,,,,,,30000000000.0,0.1,2012-04-19 22:12:10,2012,4,22,5.5,16.8
2012-04-02 16:50:33,28.1N,95.2W,,,,,,32000000000.0,0.11,2012-04-02 16:50:33,2012,4,16,28.1,-95.2
2012-03-12 06:40:44,2.5N,139.8E,25.0,11.8,0.1,-11.8,0.3,99000000000.0,0.3,2012-03-12 06:40:44,2012,3,6,2.5,139.8
2012-03-03 21:28:24,7.8N,2.7E,20.4,,,,,101000000000.0,0.31,2012-03-03 21:28:24,2012,3,21,7.8,2.7
2012-03-01 03:12:40,46.9N,29.8W,,,,,,22000000000.0,0.079,2012-03-01 03:12:40,2012,3,3,46.9,-29.8
2012-02-24 19:11:41,22.7S,30.8E,,,,,,37000000000.0,0.13,2012-02-24 19:11:41,2012,2,19,-22.7,30.8
2012-02-17 10:47:16,3.2S,39.9W,45.6,,,,,154000000000.0,0.44,2012-02-17 10:47:16,2012,2,10,-3.2,-39.9
2012-02-12 05:25:52,31.7S,54.9E,61.0,,,,,140000000000.0,0.41,2012-02-12 05:25:52,2012,2,5,-31.7,54.9
2012-02-04 14:42:51,32.4N,0.1E,34.2,12.2,-3.9,10.9,4.0,150000000000.0,0.43,2012-02-04 14:42:51,2012,2,14,32.4,0.1
2012-01-15 12:26:20,64.1S,109.9E,26.3,12.3,-1.9,5.1,11.0,21000000000.0,0.076,2012-01-15 12:26:20,2012,1,12,-64.1,109.9
2012-01-11 02:23:15,32.2N,88.5E,,,,,,85000000000.0,0.26,2012-01-11 02:23:15,2012,1,2,32.2,88.5
2011-12-19 11:35:39,30.2S,52.6E,36.1,,,,,135000000000.0,0.4,2011-12-19 11:35:39,2011,12,11,-30.2,52.6
2011-12-14 05:01:38,62.9S,89.6E,32.4,,,,,50000000000.0,0.16,2011-12-14 05:01:38,2011,12,5,-62.9,89.6
2011-12-11 17:29:33,,,,,,,,29000000000.0,0.1,2011-12-11 17:29:33,2011,12,17,0.0,0.0
2011-11-20 05:25:05,27.9S,116.3E,,,,,,23000000000.0,0.08199999999999999,2011-11-20 05:25:05,2011,11,5,-27.9,116.3
2011-10-12 07:13:20,26.4S,78.4W,,,,,,36000000000.0,0.12,2011-10-12 07:13:20,2011,10,7,-26.4,-78.4
2011-09-13 23:36:47,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,67000000000.0,0.21,2011-09-13 23:36:47,2011,9,23,-19.9,-13.8
2011-08-31 09:44:13,18.6N,5.1W,,,,,,27000000000.0,0.095,2011-08-31 09:44:13,2011,8,9,18.6,-5.1
2011-08-20 20:01:37,27.2S,2.8W,,,,,,23000000000.0,0.08199999999999999,2011-08-20 20:01:37,2011,8,20,-27.2,-2.8
2011-08-18 14:55:45,,,,,,,,23000000000.0,0.08199999999999999,2011-08-18 14:55:45,2011,8,14,0.0,0.0
2011-08-11 02:56:08,,,,,,,,35000000000.0,0.12,2011-08-11 02:56:08,2011,8,2,0.0,0.0
2011-08-04 07:25:57,40.7S,86.7W,63.0,,,,,28000000000.0,0.098,2011-08-04 07:25:57,2011,8,7,-40.7,-86.7
2011-07-27 23:00:36,45.3S,63.5E,29.6,,,,,44000000000.0,0.15,2011-07-27 23:00:36,2011,7,23,-45.3,63.5
2011-07-07 23:25:54,,,,,,,,33000000000.0,0.11,2011-07-07 23:25:54,2011,7,23,0.0,0.0
2011-07-05 15:42:41,29.1N,139.7E,40.7,,,,,65000000000.0,0.21,2011-07-05 15:42:41,2011,7,15,29.1,139.7
2011-07-04 09:18:04,51.7S,175.0E,,,,,,29000000000.0,0.1,2011-07-04 09:18:04,2011,7,9,-51.7,175.0
2011-06-16 11:51:50,67.3N,21.4W,40.5,,,,,24000000000.0,0.086,2011-06-16 11:51:50,2011,6,11,67.3,-21.4
2011-05-25 05:40:02,4.1N,14.0E,59.0,11.6,-3.4,-10.8,2.4,2280000000000.0,4.8,2011-05-25 05:40:02,2011,5,5,4.1,14.0
2011-05-16 13:39:06,1.2S,92.8E,,,,,,20000000000.0,0.073,2011-05-16 13:39:06,2011,5,13,-1.2,92.8
2011-04-27 20:38:09,1.4N,126.6W,28.7,,,,,220000000000.0,0.61,2011-04-27 20:38:09,2011,4,20,1.4,-126.6
2011-04-27 11:21:44,,,,,,,,24000000000.0,0.086,2011-04-27 11:21:44,2011,4,11,0.0,0.0
2011-04-17 11:21:44,,,,,,,,24000000000.0,0.086,2011-04-17 11:21:44,2011,4,11,0.0,0.0
2011-04-06 08:30:55,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,148000000000.0,0.43,2011-04-06 08:30:55,2011,4,8,71.1,-43.5
2011-03-24 20:23:58,0.6N,127.5W,59.0,,,,,58000000000.0,0.19,2011-03-24 20:23:58,2011,3,20,0.6,-127.5
2011-03-23 04:24:46,,,,,,,,31000000000.0,0.11,2011-03-23 04:24:46,2011,3,4,0.0,0.0
2011-03-23 04:16:32,16.8S,85.6W,,,,,,22000000000.0,0.079,2011-03-23 04:16:32,2011,3,4,-16.8,-85.6
2011-03-01 10:37:54,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,37000000000.0,0.13,2011-03-01 10:37:54,2011,3,10,53.5,103.9
2011-02-21 05:07:03,26.3N,43.7E,44.4,18.0,10.3,-14.8,0.1,39000000000.0,0.13,2011-02-21 05:07:03,2011,2,5,26.3,43.7
2011-02-12 11:00:12,7.8N,95.3W,,,,,,20000000000.0,0.073,2011-02-12 11:00:12,2011,2,11,7.8,-95.3
2011-01-21 15:11:43,18.9N,44.6W,61.0,,,,,72000000000.0,0.23,2011-01-21 15:11:43,2011,1,15,18.9,-44.6
2011-01-08 19:38:44,33.3N,125.8W,48.0,,,,,29000000000.0,0.1,2011-01-08 19:38:44,2011,1,19,33.3,-125.8
2010-12-25 23:24:00,38.0N,158.0E,26.0,18.1,18.0,-2.0,-4.0,20000000000000.0,33.0,2010-12-25 23:24:00,2010,12,23,38.0,158.0
2010-12-14 00:27:53,4.9S,175.5E,24.0,,,,,39000000000.0,0.13,2010-12-14 00:27:53,2010,12,0,-4.9,175.5
2010-12-09 02:54:07,54.5S,169.7W,66.0,,,,,63000000000.0,0.2,2010-12-09 02:54:07,2010,12,2,-54.5,-169.7
2010-12-01 06:31:46,72.5S,144.9E,33.3,,,,,133000000000.0,0.39,2010-12-01 06:31:46,2010,12,6,-72.5,144.9
2010-11-21 14:45:27,1.9N,143.3E,50.0,,,,,81000000000.0,0.25,2010-11-21 14:45:27,2010,11,14,1.9,143.3
2010-11-19 07:25:56,10.3S,148.8E,30.0,,,,,33000000000.0,0.11,2010-11-19 07:25:56,2010,11,7,-10.3,148.8
2010-11-10 08:26:35,74.5N,77.7W,,,,,,68000000000.0,0.22,2010-11-10 08:26:35,2010,11,8,74.5,-77.7
2010-11-09 13:05:46,56.3S,16.7W,37.0,,,,,86000000000.0,0.27,2010-11-09 13:05:46,2010,11,13,-56.3,-16.7
2010-11-09 06:56:52,14.0S,160.0W,26.0,,,,,20000000000.0,0.073,2010-11-09 06:56:52,2010,11,6,-14.0,-160.0
2010-10-27 11:27:39,14.1S,67.7E,35.2,,,,,145000000000.0,0.42,2010-10-27 11:27:39,2010,10,11,-14.1,67.7
2010-10-08 09:58:01,,,,,,,,20000000000.0,0.073,2010-10-08 09:58:01,2010,10,9,0.0,0.0
2010-09-24 12:02:07,67.4S,50.6W,,,,,,50000000000.0,0.16,2010-09-24 12:02:07,2010,9,12,-67.4,-50.6
2010-09-18 05:04:41,7.4N,36.7E,,,,,,67000000000.0,0.21,2010-09-18 05:04:41,2010,9,5,7.4,36.7
2010-09-08 19:51:36,13.9S,65.5W,46.3,,,,,65000000000.0,0.21,2010-09-08 19:51:36,2010,9,19,-13.9,-65.5
2010-09-05 23:37:33,25.9S,49.0E,35.2,,,,,683000000000.0,1.7,2010-09-05 23:37:33,2010,9,23,-25.9,49.0
2010-09-03 12:04:58,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,1750000000000.0,3.8,2010-09-03 12:04:58,2010,9,12,-61.0,146.7
2010-08-17 04:19:37,20.7N,114.3W,33.3,,,,,21000000000.0,0.076,2010-08-17 04:19:37,2010,8,4,20.7,-114.3
2010-07-15 01:49:56,60.9N,178.1W,,,,,,24000000000.0,0.086,2010-07-15 01:49:56,2010,7,1,60.9,-178.1
2010-07-06 23:54:43,34.1S,174.5W,26.0,15.7,12.1,10.0,0.2,7560000000000.0,14.0,2010-07-06 23:54:43,2010,7,23,-34.1,-174.5
2010-06-26 06:04:38,0.5S,133.2E,50.0,,,,,113000000000.0,0.34,2010-06-26 06:04:38,2010,6,6,-0.5,133.2
2010-06-21 06:42:00,22.5S,120.9W,,,,,,163000000000.0,0.47,2010-06-21 06:42:00,2010,6,6,-22.5,-120.9
2010-06-17 04:24:45,26.1S,100.0E,42.0,,,,,119000000000.0,0.35,2010-06-17 04:24:45,2010,6,4,-26.1,100.0
2010-04-17 02:21:58,13.1N,173.0W,,,,,,56000000000.0,0.18,2010-04-17 02:21:58,2010,4,2,13.1,-173.0
2010-04-16 04:38:52,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,844000000000.0,2.0,2010-04-16 04:38:52,2010,4,4,1.8,-176.9
2010-04-06 18:33:12,52.8N,146.5W,,,,,,80000000000.0,0.25,2010-04-06 18:33:12,2010,4,18,52.8,-146.5
2010-03-18 16:11:16,32.4S,51.8W,,,,,,175000000000.0,0.5,2010-03-18 16:11:16,2010,3,16,-32.4,-51.8
2010-03-15 15:55:43,,,,,,,,80000000000.0,0.25,2010-03-15 15:55:43,2010,3,15,0.0,0.0
2010-03-14 18:44:42,33.8N,90.2W,35.6,,,,,42000000000.0,0.14,2010-03-14 18:44:42,2010,3,18,33.8,-90.2
2010-03-08 22:44:41,18.2N,110.1E,53.0,,,,,30000000000.0,0.1,2010-03-08 22:44:41,2010,3,22,18.2,110.1
2010-03-08 22:02:07,32.0N,92.9W,52.0,24.5,19.1,11.0,10.7,323000000000.0,0.85,2010-03-08 22:02:07,2010,3,22,32.0,-92.9
2010-02-28 22:24:50,48.7N,21.0E,37.0,15.1,-11.7,2.7,-9.1,153000000000.0,0.44,2010-02-28 22:24:50,2010,2,22,48.7,21.0
2010-02-26 22:46:13,37.3S,166.0W,,,,,,237000000000.0,0.65,2010-02-26 22:46:13,2010,2,22,-37.3,-166.0
2010-02-24 19:55:58,2.6S,102.2W,,,,,,93000000000.0,0.28,2010-02-24 19:55:58,2010,2,19,-2.6,-102.2
2010-01-15 19:17:54,8.3S,27.0E,25.0,14.0,-9.1,6.0,8.8,492000000000.0,1.2,2010-01-15 19:17:54,2010,1,19,-8.3,27.0
2009-12-31 16:24:23,,,,,,,,83000000000.0,0.26,2009-12-31 16:24:23,2009,12,16,0.0,0.0
2009-12-31 12:50:25,37.9N,178.3W,20.7,,,,,102000000000.0,0.31,2009-12-31 12:50:25,2009,12,12,37.9,-178.3
2009-11-25 01:36:20,52.8S,136.5E,,,,,,64000000000.0,0.2,2009-11-25 01:36:20,2009,11,1,-52.8,136.5
2009-11-21 20:53:00,22.0S,29.2E,38.0,32.1,3.0,-17.0,27.0,10000000000000.0,18.0,2009-11-21 20:53:00,2009,11,20,-22.0,29.2
2009-11-18 17:36:07,,,,,,,,85000000000.0,0.26,2009-11-18 17:36:07,2009,11,17,0.0,0.0
2009-11-18 07:07:19,40.4N,113.2W,31.5,,,,,736000000000.0,1.8,2009-11-18 07:07:19,2009,11,7,40.4,-113.2
2009-11-14 19:58:55,,,,,,,,23000000000.0,0.08199999999999999,2009-11-14 19:58:55,2009,11,19,0.0,0.0
2009-11-07 11:31:59,45.5N,157.7W,,,,,,22000000000.0,0.079,2009-11-07 11:31:59,2009,11,11,45.5,-157.7
2009-11-07 10:41:38,24.0N,64.1E,37.0,,,,,42000000000.0,0.14,2009-11-07 10:41:38,2009,11,10,24.0,64.1
2009-10-11 12:49:51,78.3S,70.2E,27.8,,,,,71000000000.0,0.22,2009-10-11 12:49:51,2009,10,12,-78.3,70.2
2009-10-08 02:57:00,4.2S,120.6E,19.1,19.2,14.0,-16.0,-6.0,20000000000000.0,33.0,2009-10-08 02:57:00,2009,10,2,-4.2,120.6
2009-09-27 22:22:48,36.0S,67.6W,37.0,,,,,89000000000.0,0.27,2009-09-27 22:22:48,2009,9,22,-36.0,-67.6
2009-09-18 20:13:56,7.7N,29.5W,,,,,,144000000000.0,0.42,2009-09-18 20:13:56,2009,9,20,7.7,-29.5
2009-09-04 02:23:18,42.5N,110.0E,28.3,24.0,19.2,-11.6,-8.5,965000000000.0,2.3,2009-09-04 02:23:18,2009,9,2,42.5,110.0
2009-08-23 21:17:19,67.7S,18.3E,34.0,12.2,-6.9,5.3,8.5,280000000000.0,0.75,2009-08-23 21:17:19,2009,8,21,-67.7,18.3
2009-07-31 02:13:19,8.9N,121.9W,,,,,,25000000000.0,0.08900000000000001,2009-07-31 02:13:19,2009,7,2,8.9,-121.9
2009-07-16 06:39:05,24.4S,59.8W,32.2,,,,,727000000000.0,1.8,2009-07-16 06:39:05,2009,7,6,-24.4,-59.8
2009-07-03 04:02:00,,,,,,,,27000000000.0,0.095,2009-07-03 04:02:00,2009,7,4,0.0,0.0
2009-06-27 13:08:05,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,32000000000.0,0.11,2009-06-27 13:08:05,2009,6,13,-26.6,-12.6
2009-06-20 11:04:41,,,,,,,,27000000000.0,0.095,2009-06-20 11:04:41,2009,6,11,0.0,0.0
2009-06-18 04:39:00,23.7S,16.0W,57.4,,,,,33000000000.0,0.11,2009-06-18 04:39:00,2009,6,4,-23.7,-16.0
2009-06-09 22:42:28,54.9N,152.7W,34.2,,,,,281000000000.0,0.76,2009-06-09 22:42:28,2009,6,22,54.9,-152.7
2009-05-31 06:05:47,19.7N,121.0W,,,,,,143000000000.0,0.42,2009-05-31 06:05:47,2009,5,6,19.7,-121.0
2009-05-13 20:20:16,,,,,,,,73000000000.0,0.23,2009-05-13 20:20:16,2009,5,20,0.0,0.0
2009-05-04 11:39:03,36.4N,160.4W,40.7,,,,,140000000000.0,0.41,2009-05-04 11:39:03,2009,5,11,36.4,-160.4
2009-04-20 04:01:39,6.0N,84.3E,,,,,,22000000000.0,0.079,2009-04-20 04:01:39,2009,4,4,6.0,84.3
