Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),peak_brightness,year,month,hour,latitude,longitude
2018-11-14 04:03:47,37.6S,83.5E,37.0,,,,,38000000000.0,0.13,2018-11-14 04:03:47,2018,11,4,-37.6,83.5
2018-10-24 21:19:07,6.7S,148.6W,33.3,,,,,47000000000.0,0.16,2018-10-24 21:19:07,2018,10,21,-6.7,-148.6
2018-10-22 07:11:03,,,,,,,,26000000000.0,0.092,2018-10-22 07:11:03,2018,10,7,0.0,0.0
2018-10-05 00:27:04,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13,2018-10-05 00:27:04,2018,10,0,-39.8,-31.7
2018-09-25 14:10:33,23.5S,56.8E,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9,2018-09-25 14:10:33,2018,9,14,-23.5,56.8
2018-09-25 00:16:59,34.3S,44.9E,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17,2018-09-25 00:16:59,2018,9,0,-34.3,44.9
2018-09-20 18:29:03,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,83000000000.0,0.26,2018-09-20 18:29:03,2018,9,18,-67.3,75.1
2018-09-17 01:08:02,6.8S,27.8W,,,,,,150000000000.0,0.43,2018-09-17 01:08:02,2018,9,1,-6.8,-27.8
2018-09-13 00:51:21,42.5N,50.1W,,,,,,42000000000.0,0.14,2018-09-13 00:51:21,2018,9,0,42.5,-50.1
2018-08-27 04:36:45,1.7S,141.4E,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086,2018-08-27 04:36:45,2018,8,4,-1.7,141.4
2018-08-21 12:26:14,39.2S,162.9W,37.0,,,,,22000000000.0,0.079,2018-08-21 12:26:14,2018,8,12,-39.2,-162.9
2018-07-27 09:35:14,58.8S,105.8E,32.0,,,,,105000000000.0,0.32,2018-07-27 09:35:14,2018,7,9,-58.8,105.8
2018-07-25 21:55:26,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1,2018-07-25 21:55:26,2018,7,21,76.9,-69.0
2018-07-17 15:17:37,82.5N,136.7W,,,,,,211000000000.0,0.59,2018-07-17 15:17:37,2018,7,15,82.5,-136.7
2018-06-26 17:51:53,32.0N,12.1E,63.0,14.1,-10.0,-1.0,-9.9,29000000000.0,0.1,2018-06-26 17:51:53,2018,6,17,32.0,12.1
2018-06-21 01:16:20,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1224000000000.0,2.8,2018-06-21 01:16:20,2018,6,1,52.8,38.1
2018-06-02 16:44:12,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,375000000000.0,0.98,2018-06-02 16:44:12,2018,6,16,-21.2,23.3
2018-05-12 03:26:46,6.5S,173.7E,34.0,,,,,193000000000.0,0.54,2018-05-12 03:26:46,2018,5,3,-6.5,173.7
2018-05-08 02:27:13,32N,60.7W,,,,,,73000000000.0,0.23,2018-05-08 02:27:13,2018,5,2,32.0,-60.7
2018-05-03 07:23:59,46.9N,7.5W,39.0,11.5,1.3,-2.1,-11.2,38000000000.0,0.13,2018-05-03 07:23:59,2018,5,7,46.9,-7.5
